# Created by CSS Data Browser Version 3.2.17.201410011619
# 
# Start Time : 2017/01/27 20:00:00.000000000
# End Time   : 2017/01/29 13:00:00.000000000
# Source     : Plot
# Format     : Decimal (4 digits)
# 
# Data is in TAB-delimited columns, should import into e.g. Excel

# Channel: uB_TPCDrift_HV01_keithleyPickOff/getVoltage
# Archives:
# 1) RDB2
#    URL: jdbc:postgresql://smc-priv/slowmoncon_archive
#    Key: 2
# 2) RDB
#    URL: jdbc:postgresql://near2-priv/slowmoncon_archive
#    Key: 1
# 
# Channel: uB_TPCDrift_HV01_keithleyCurrMon/getVoltage
# Archives:
# 1) RDB2
#    URL: jdbc:postgresql://smc-priv/slowmoncon_archive
#    Key: 2
# 2) RDB
#    URL: jdbc:postgresql://near2-priv/slowmoncon_archive
#    Key: 1
# 
# Channel: uB_TPCDrift_HV01_keithleyCurrMon/calcCurrent
# Archives:
# 1) RDB2
#    URL: jdbc:postgresql://smc-priv/slowmoncon_archive
#    Key: 2
# 2) RDB
#    URL: jdbc:postgresql://near2-priv/slowmoncon_archive
#    Key: 1
# 

Time	uB_TPCDrift_HV01_keithleyPickOff/getVoltage Value	uB_TPCDrift_HV01_keithleyCurrMon/getVoltage Value	uB_TPCDrift_HV01_keithleyCurrMon/calcCurrent Value
2017/01/28 01:22:04.000000000	-214.9412	0.0060	6.1710
2017/01/28 01:25:08.000000000	-214.9132	0.0060	6.1412
2017/01/28 01:28:12.000000000	-214.9067	0.0060	5.8963
2017/01/28 01:31:16.000000000	-214.8379	0.0060	6.0073
2017/01/28 01:34:20.000000000	-214.8892	0.0060	6.2653
2017/01/28 01:37:24.000000000	-214.8709	0.0060	6.0295
2017/01/28 01:40:28.000000000	-215.1058	0.0059	6.0481
2017/01/28 01:43:32.000000000	-214.9366	0.0060	6.3009
2017/01/28 01:46:36.000000000	-214.9280	0.0060	5.9493
2017/01/28 01:49:40.000000000	-214.8857	0.0060	5.8915
2017/01/28 01:52:44.000000000	-214.9448	0.0060	6.1488
2017/01/28 01:55:48.000000000	-214.9042	0.0060	6.0868
2017/01/28 01:58:52.000000000	-214.8451	0.0060	5.9527
2017/01/28 02:01:56.000000000	-214.9139	0.0060	6.1522
2017/01/28 02:05:00.000000000	-214.8658	0.0059	5.9283
2017/01/28 02:08:04.000000000	-214.8734	0.0060	5.8582
2017/01/28 02:11:08.000000000	-214.9188	0.0060	5.9502
2017/01/28 02:14:12.000000000	-214.9682	0.0060	6.1507
2017/01/28 02:17:16.000000000	-214.9211	0.0060	6.2018
2017/01/28 02:20:20.000000000	-214.9282	0.0060	6.1238
2017/01/28 02:23:24.000000000	-214.9082	0.0060	6.1798
2017/01/28 02:26:28.000000000	-214.9246	0.0060	5.8662
2017/01/28 02:29:32.000000000	-214.9767	0.0060	6.0011
2017/01/28 02:32:36.000000000	-214.9135	0.0060	6.2184
2017/01/28 02:35:40.000000000	-214.8733	0.0060	6.2071
2017/01/28 02:38:44.000000000	-214.8788	0.0060	6.0028
2017/01/28 02:41:48.000000000	-214.8733	0.0060	6.0724
2017/01/28 02:44:52.000000000	-214.9358	0.0060	6.1091
2017/01/28 02:47:56.000000000	-214.8743	0.0060	6.1524
2017/01/28 02:51:00.000000000	-214.9031	0.0060	5.9730
2017/01/28 02:54:04.000000000	-214.8959	0.0060	6.0429
2017/01/28 02:57:08.000000000	-214.9007	0.0060	6.0099
2017/01/28 03:00:12.000000000	-214.8558	0.0061	6.1254
2017/01/28 03:03:16.000000000	-214.8600	0.0060	6.0491
2017/01/28 03:06:20.000000000	-214.8849	0.0060	5.9939
2017/01/28 03:09:24.000000000	-214.8647	0.0060	6.2682
2017/01/28 03:12:28.000000000	-214.8754	0.0060	6.1185
2017/01/28 03:15:32.000000000	-214.9018	0.0060	6.2527
2017/01/28 03:18:36.000000000	-214.8852	0.0060	5.9747
2017/01/28 03:21:40.000000000	-215.6038	0.0060	6.1901
2017/01/28 03:24:44.000000000	-216.4435	0.0060	6.1377
2017/01/28 03:27:48.000000000	-216.4401	0.0060	6.2622
2017/01/28 03:30:52.000000000	-216.1061	0.0060	6.1460
2017/01/28 03:33:56.000000000	-215.4635	0.0061	6.3501
2017/01/28 03:37:00.000000000	-216.3079	0.0060	5.9734
2017/01/28 03:40:04.000000000	-216.4564	0.0060	6.1172
2017/01/28 03:43:08.000000000	-216.4434	0.0060	6.1145
2017/01/28 03:46:12.000000000	-216.4871	0.0060	6.1500
2017/01/28 03:49:16.000000000	-216.4507	0.0060	6.0761
2017/01/28 03:52:20.000000000	-216.4434	0.0060	6.0990
2017/01/28 03:55:24.000000000	-216.4712	0.0060	6.1239
2017/01/28 03:58:28.000000000	-216.4570	0.0060	6.0649
2017/01/28 04:01:32.000000000	-216.4457	0.0060	6.0247
2017/01/28 04:04:36.000000000	-216.4703	0.0060	6.0834
2017/01/28 04:07:40.000000000	-216.4094	0.0060	6.1125
2017/01/28 04:10:44.000000000	-216.4193	0.0060	6.0953
2017/01/28 04:13:48.000000000	-216.5005	0.0060	6.0314
2017/01/28 04:16:52.000000000	-216.3957	0.0060	6.0857
2017/01/28 04:19:56.000000000	-216.2638	0.0060	6.1443
2017/01/28 04:23:00.000000000	-216.1523	0.0060	6.0339
2017/01/28 04:26:04.000000000	-216.3168	0.0060	5.9979
2017/01/28 04:29:08.000000000	-216.4419	0.0060	6.0278
2017/01/28 04:32:12.000000000	-216.4468	0.0060	6.1146
2017/01/28 04:35:16.000000000	-216.3190	0.0060	6.0710
2017/01/28 04:38:20.000000000	-216.3065	0.0060	5.9015
2017/01/28 04:41:24.000000000	-216.3269	0.0060	6.0814
2017/01/28 04:44:28.000000000	-216.3073	0.0060	5.9730
2017/01/28 04:47:32.000000000	-216.3847	0.0060	6.1185
2017/01/28 04:50:36.000000000	-215.6870	0.0060	6.0783
2017/01/28 04:53:40.000000000	-215.2671	0.0060	5.9936
2017/01/28 04:56:44.000000000	-215.7259	0.0060	6.2683
2017/01/28 04:59:48.000000000	-216.0081	0.0060	6.0725
2017/01/28 05:02:52.000000000	-215.2220	0.0060	6.0162
2017/01/28 05:05:56.000000000	-215.8339	0.0060	6.2379
2017/01/28 05:09:00.000000000	-215.7206	0.0061	6.3131
2017/01/28 05:12:04.000000000	-215.2531	0.0060	6.0457
2017/01/28 05:15:08.000000000	-216.1387	0.0060	6.0260
2017/01/28 05:18:12.000000000	-216.2515	0.0060	6.1507
2017/01/28 05:21:16.000000000	-216.0997	0.0060	6.1075
2017/01/28 05:24:20.000000000	-216.0769	0.0060	6.1181
2017/01/28 05:27:24.000000000	-215.7671	0.0060	6.1051
2017/01/28 05:30:28.000000000	-215.4341	0.0060	5.9089
2017/01/28 05:33:32.000000000	-215.0229	0.0060	6.1473
2017/01/28 05:36:36.000000000	-215.0027	0.0061	6.2298
2017/01/28 05:39:40.000000000	-214.8834	0.0060	6.0801
2017/01/28 05:42:44.000000000	-214.7944	0.0060	6.1574
