# Created by CSS Data Browser Version 3.2.17.201410011619
# 
# Start Time : 2017/01/28 10:30:22.406000000
# End Time   : 2017/01/29 15:15:41.078000000
# Source     : Plot
# Format     : Decimal (4 digits)
# 
# Data is in TAB-delimited columns, should import into e.g. Excel

# Channel: uB_TPCDrift_HV01_keithleyPickOff/getVoltage
# Archives:
# 1) RDB2
#    URL: jdbc:postgresql://smc-priv/slowmoncon_archive
#    Key: 2
# 2) RDB
#    URL: jdbc:postgresql://near2-priv/slowmoncon_archive
#    Key: 1
# 
# Channel: uB_OnDetPower_TPCPS_1_1_0/CURR_READ
# Archives:
# 1) RDB2
#    URL: jdbc:postgresql://smc-priv/slowmoncon_archive
#    Key: 2
# 2) RDB
#    URL: jdbc:postgresql://near2-priv/slowmoncon_archive
#    Key: 1
# 

Time	uB_TPCDrift_HV01_keithleyPickOff/getVoltage Value	uB_OnDetPower_TPCPS_1_1_0/CURR_READ Value
2017/01/28 14:10:41.000000000	-214.7292	2.4902
2017/01/28 14:12:50.000000000	-214.7438	2.4902
2017/01/28 14:14:59.000000000	-214.7568	2.4902
2017/01/28 14:17:08.000000000	-214.7627	2.4902
2017/01/28 14:19:17.000000000	-214.5921	2.4902
2017/01/28 14:21:26.000000000	-214.5691	2.4902
2017/01/28 14:23:35.000000000	-214.4897	2.4902
2017/01/28 14:25:44.000000000	-214.7895	2.4902
2017/01/28 14:27:53.000000000	-214.5624	2.4915
2017/01/28 14:30:02.000000000	-214.5624	2.4915
2017/01/28 14:32:11.000000000	-214.4318	2.4915
2017/01/28 14:34:20.000000000	-214.5493	2.4915
2017/01/28 14:36:29.000000000	-214.3226	2.4910
2017/01/28 14:38:38.000000000	-214.1893	2.4915
2017/01/28 14:40:47.000000000	-213.9523	2.4911
2017/01/28 14:42:56.000000000	-214.5409	2.4915
2017/01/28 14:45:05.000000000	-214.0628	2.4910
2017/01/28 14:47:14.000000000	-214.2951	2.4913
2017/01/28 14:49:23.000000000	-214.2219	2.4919
2017/01/28 14:51:32.000000000	-213.8012	2.4919
2017/01/28 14:53:41.000000000	-213.2483	2.4914
2017/01/28 14:55:50.000000000	-213.8565	2.4913
2017/01/28 14:57:59.000000000	-213.3174	2.4960
2017/01/28 15:00:08.000000000	-213.4106	2.5092
2017/01/28 15:02:17.000000000	-213.9997	2.5091
2017/01/28 15:04:26.000000000	-214.0371	2.5095
2017/01/28 15:06:35.000000000	-215.3593	2.5105
2017/01/28 15:08:44.000000000	-213.7450	2.5105
2017/01/28 15:10:53.000000000	-212.8099	2.5112
2017/01/28 15:13:02.000000000	-213.1136	2.5164
2017/01/28 15:15:11.000000000	-212.8048	2.5170
