# Created by CSS Data Browser Version 3.2.17.201410011619
# 
# Start Time : 2017/02/10 10:42:52.679545364
# End Time   : 2017/02/10 11:12:52.679552963
# Source     : Plot
# Format     : Exponential (4 digits)
# 
# Data is in TAB-delimited columns, should import into e.g. Excel

# Channel: uB_OnDetPower_TPCPS_2_7_604/CURR_READ
# Archives:
# 1) RDB2
#    URL: jdbc:postgresql://smc-priv/slowmoncon_archive
#    Key: 2
# 2) RDB
#    URL: jdbc:postgresql://near2-priv/slowmoncon_archive
#    Key: 1
# 
# Channel: uB_OnDetPower_TPCPS_2_7_604/SenseVOLT_READ
# Archives:
# 1) RDB2
#    URL: jdbc:postgresql://smc-priv/slowmoncon_archive
#    Key: 2
# 2) RDB
#    URL: jdbc:postgresql://near2-priv/slowmoncon_archive
#    Key: 1
# 

Time	uB_OnDetPower_TPCPS_2_7_604/CURR_READ Value	Negative Error	Positive Error	Severity	Status	uB_OnDetPower_TPCPS_2_7_604/SenseVOLT_READ Value	Negative Error	Positive Error	Severity	Status
2017/02/10 10:47:50.119725370	6.9483E-10	0	0	NONE	NO_ALARM	-6.6705E-2	0	0	NONE	NO_ALARM
2017/02/10 10:47:50.920120026	6.8113E-10	0	0	NONE	NO_ALARM	-6.6705E-2	0	0	NONE	NO_ALARM
2017/02/10 10:47:51.720705816	6.8523E-10	0	0	NONE	NO_ALARM	-6.6705E-2	0	0	NONE	NO_ALARM
2017/02/10 10:47:52.721246585	6.8316E-10	0	0	NONE	NO_ALARM	-6.6705E-2	0	0	NONE	NO_ALARM
2017/02/10 10:47:53.521765518	6.7442E-10	0	0	NONE	NO_ALARM	-6.6705E-2	0	0	NONE	NO_ALARM
2017/02/10 10:47:54.522313957	6.6235E-10	0	0	NONE	NO_ALARM	-6.6705E-2	0	0	NONE	NO_ALARM
2017/02/10 10:47:55.322750770	6.5325E-10	0	0	NONE	NO_ALARM	-6.6705E-2	0	0	NONE	NO_ALARM
2017/02/10 10:47:56.123172112	6.7920E-10	0	0	NONE	NO_ALARM	-6.6705E-2	0	0	NONE	NO_ALARM
2017/02/10 10:47:56.923830135	6.8738E-10	0	0	NONE	NO_ALARM	-6.6705E-2	0	0	NONE	NO_ALARM
2017/02/10 10:47:57.724193319	6.8475E-10	0	0	NONE	NO_ALARM	-6.6705E-2	0	0	NONE	NO_ALARM
2017/02/10 10:47:58.724928630	7.3092E-10	0	0	NONE	NO_ALARM	-6.6705E-2	0	0	NONE	NO_ALARM
2017/02/10 10:47:59.525594215	6.9840E-10	0	0	NONE	NO_ALARM	-6.6705E-2	0	0	NONE	NO_ALARM
2017/02/10 10:48:00.326004721	7.0086E-10	0	0	NONE	NO_ALARM	-6.6705E-2	0	0	NONE	NO_ALARM
2017/02/10 10:48:01.126837307	6.7733E-10	0	0	NONE	NO_ALARM	-6.6705E-2	0	0	NONE	NO_ALARM
2017/02/10 10:48:02.127201257	6.7370E-10	0	0	NONE	NO_ALARM	-6.6705E-2	0	0	NONE	NO_ALARM
2017/02/10 10:48:02.927721405	6.7432E-10	0	0	NONE	NO_ALARM	-6.6705E-2	0	0	NONE	NO_ALARM
2017/02/10 10:48:03.728208144	6.4243E-10	0	0	NONE	NO_ALARM	-6.6705E-2	0	0	NONE	NO_ALARM
2017/02/10 10:48:04.728696063	6.3542E-10	0	0	NONE	NO_ALARM	-6.6705E-2	0	0	NONE	NO_ALARM
2017/02/10 10:48:05.529108647	6.0460E-10	0	0	NONE	NO_ALARM	-6.6705E-2	0	0	NONE	NO_ALARM
2017/02/10 10:48:06.329387321	6.1551E-10	0	0	NONE	NO_ALARM	-6.6705E-2	0	0	NONE	NO_ALARM
2017/02/10 10:48:07.329635207	6.2793E-10	0	0	NONE	NO_ALARM	-6.6705E-2	0	0	NONE	NO_ALARM
2017/02/10 10:48:08.130302561	6.6880E-10	0	0	NONE	NO_ALARM	-6.6705E-2	0	0	NONE	NO_ALARM
2017/02/10 10:48:09.130968304	6.6675E-10	0	0	NONE	NO_ALARM	-6.6705E-2	0	0	NONE	NO_ALARM
2017/02/10 10:48:09.931403290	6.6074E-10	0	0	NONE	NO_ALARM	-6.6705E-2	0	0	NONE	NO_ALARM
2017/02/10 10:48:10.731963136	6.3677E-10	0	0	NONE	NO_ALARM	-6.6705E-2	0	0	NONE	NO_ALARM
2017/02/10 10:48:11.732370614	6.4265E-10	0	0	NONE	NO_ALARM	-6.6705E-2	0	0	NONE	NO_ALARM
2017/02/10 10:48:12.532885643	6.3700E-10	0	0	NONE	NO_ALARM	-6.6705E-2	0	0	NONE	NO_ALARM
2017/02/10 10:48:13.533558758	6.4401E-10	0	0	NONE	NO_ALARM	-6.6705E-2	0	0	NONE	NO_ALARM
2017/02/10 10:48:14.333907007	6.4474E-10	0	0	NONE	NO_ALARM	-6.6705E-2	0	0	NONE	NO_ALARM
2017/02/10 10:48:15.134035392	6.5294E-10	0	0	NONE	NO_ALARM	-6.6705E-2	0	0	NONE	NO_ALARM
2017/02/10 10:48:15.934757151	6.8825E-10	0	0	NONE	NO_ALARM	-6.6705E-2	0	0	NONE	NO_ALARM
2017/02/10 10:48:16.734868606	6.7140E-10	0	0	NONE	NO_ALARM	-6.6705E-2	0	0	NONE	NO_ALARM
2017/02/10 10:48:17.735585181	6.2635E-10	0	0	NONE	NO_ALARM	-6.6705E-2	0	0	NONE	NO_ALARM
2017/02/10 10:48:18.535980228	6.0241E-10	0	0	NONE	NO_ALARM	-6.6705E-2	0	0	NONE	NO_ALARM
2017/02/10 10:48:19.336311316	6.0548E-10	0	0	NONE	NO_ALARM	-6.6705E-2	0	0	NONE	NO_ALARM
