# Created by CSS Data Browser Version 3.2.17.201410011619
# 
# Start Time : 2017/03/08 12:21:11.348324474
# End Time   : 2017/03/22 12:21:11.348343624
# Source     : Plot
# Format     : Decimal (4 digits)
# 
# Data is in TAB-delimited columns, should import into e.g. Excel

# Channel: uB_TPCDrift_HV01_keithleyPickOff/getVoltage
# Archives:
# 1) RDB2
#    URL: jdbc:postgresql://smc-priv/slowmoncon_archive
#    Key: 2
# 2) RDB
#    URL: jdbc:postgresql://near2-priv/slowmoncon_archive
#    Key: 1
# 

# Time	uB_TPCDrift_HV01_keithleyPickOff/getVoltage Value
2017/03/22 11:44:30.319073899	-216.5986
2017/03/22 11:44:31.318932860	-216.6006
2017/03/22 11:44:32.323071048	-216.6004
2017/03/22 11:44:33.318861735	-216.5992
2017/03/22 11:44:34.318024748	-216.5994
2017/03/22 11:44:35.318030116	-216.5995
2017/03/22 11:44:36.318163243	-216.5996
2017/03/22 11:44:38.324880365	-216.5987
2017/03/22 11:44:39.316949359	-216.5982
2017/03/22 11:44:40.325762278	-216.6005
2017/03/22 11:44:42.325756547	-216.5988
2017/03/22 11:44:43.323348319	-216.5999
2017/03/22 11:44:44.315553305	-216.6005
2017/03/22 11:44:47.314757329	-216.6009
2017/03/22 11:44:48.322006394	-216.6001
2017/03/22 11:44:49.315126879	-216.6009
2017/03/22 11:44:50.315250923	-216.6012
2017/03/22 11:44:51.325056842	-216.6006
2017/03/22 11:44:52.330427198	-216.6023
2017/03/22 11:44:53.331065546	-216.6017
2017/03/22 11:44:54.323925790	-216.6012
2017/03/22 11:44:55.328213896	-216.6006
2017/03/22 11:44:56.327180732	-216.6013
2017/03/22 11:44:57.330116180	-216.6012
2017/03/22 11:44:58.329496199	-216.6013
2017/03/22 11:44:59.325362815	-216.6016
2017/03/22 11:45:00.324780012	-216.6014
2017/03/22 11:45:01.322007522	-216.6018
2017/03/22 11:45:02.321929456	-216.6030
2017/03/22 11:45:03.321843153	-216.6035
2017/03/22 11:45:05.325894190	-216.6039
2017/03/22 11:45:07.320445969	-216.6045
2017/03/22 11:45:08.321198873	-216.6044
2017/03/22 11:45:09.320754848	-216.6032
2017/03/22 11:45:10.323835976	-216.6048
2017/03/22 11:45:11.320628987	-216.6030
2017/03/22 11:45:12.321351861	-216.6045
2017/03/22 11:45:13.318919776	-216.6032
2017/03/22 11:45:14.319829017	-216.6044
2017/03/22 11:45:15.318739784	-216.6043
2017/03/22 11:45:16.318766950	-216.6048
2017/03/22 11:45:17.329633081	-216.6050
2017/03/22 11:45:18.318139020	-216.6053
2017/03/22 11:45:19.317789209	-216.6028
2017/03/22 11:45:20.322652531	-216.6040
2017/03/22 11:45:21.319906803	-216.6036
2017/03/22 11:45:22.317906917	-216.6027
2017/03/22 11:45:23.317621046	-216.6032
2017/03/22 11:45:24.323977380	-216.6022
2017/03/22 11:45:25.315445730	-216.6037
2017/03/22 11:45:26.316199846	-216.6028
2017/03/22 11:45:27.329274433	-216.6035
2017/03/22 11:45:28.323431029	-216.6031
2017/03/22 11:45:29.320463692	-216.6030
2017/03/22 11:45:31.315937267	-216.6027
2017/03/22 11:45:32.315149930	-216.6051
2017/03/22 11:45:33.322667348	-216.6026
2017/03/22 11:45:34.314880691	-216.6036
2017/03/22 11:45:35.314394645	-216.6033
2017/03/22 11:45:36.321598421	-216.6043
2017/03/22 11:45:37.331283607	-216.6040
2017/03/22 11:45:38.332476338	-216.6033
