# Created by CSS Data Browser Version 3.2.17.201410011619
# 
# Start Time : 2017/02/24 10:10:54.038555704
# End Time   : 2017/02/24 10:40:54.038568049
# Source     : Plot
# Format     : Decimal (4 digits)
# 
# Data is in TAB-delimited columns, should import into e.g. Excel

# Channel: uB_OnDetPower_TPCPS_2_7_604/CURR_READ
# Archives:
# 1) RDB2
#    URL: jdbc:postgresql://smc-priv/slowmoncon_archive
#    Key: 2
# 2) RDB
#    URL: jdbc:postgresql://near2-priv/slowmoncon_archive
#    Key: 1
# 
# Channel: uB_OnDetPower_TPCPS_2_7_604/SenseVOLT_READ
# Archives:
# 1) RDB2
#    URL: jdbc:postgresql://smc-priv/slowmoncon_archive
#    Key: 2
# 2) RDB
#    URL: jdbc:postgresql://near2-priv/slowmoncon_archive
#    Key: 1
# 
# Channel: uB_TPCDrift_HV01_keithleyPickOff/getVoltage
# Archives:
# 1) RDB2
#    URL: jdbc:postgresql://smc-priv/slowmoncon_archive
#    Key: 2
# 2) RDB
#    URL: jdbc:postgresql://near2-priv/slowmoncon_archive
#    Key: 1
# 
# Channel: R (Gigaohms(
# 

Time	uB_OnDetPower_TPCPS_2_7_604/CURR_READ Value	uB_OnDetPower_TPCPS_2_7_604/SenseVOLT_READ Value	uB_TPCDrift_HV01_keithleyPickOff/getVoltage Value	R (Gigaohms( Value
2017/02/24 10:12:23.209313737	-0.0000	-50.1256	-0.0396	14.4491
2017/02/24 10:12:23.517215744	-0.0000	-50.1256	-0.0457	14.4491
2017/02/24 10:12:23.816505262	-0.0000	-50.1256	-0.0457	14.8420
2017/02/24 10:12:24.209184936	-0.0000	-50.1264	-0.0457	14.8422
2017/02/24 10:12:24.524039148	-0.0000	-50.1264	-0.0518	14.8422
2017/02/24 10:12:24.616688663	-0.0000	-50.1264	-0.0518	15.2243
2017/02/24 10:12:25.209418092	-0.0000	-50.1271	-0.0518	15.2245
2017/02/24 10:12:25.516720880	-0.0000	-50.1271	-0.0579	15.2245
2017/02/24 10:12:25.617040498	-0.0000	-50.1271	-0.0579	15.5828
2017/02/24 10:12:26.209110155	-0.0000	-50.1259	-0.0579	15.5824
2017/02/24 10:12:26.524275109	-0.0000	-50.1259	-0.0639	15.5824
2017/02/24 10:12:27.519178865	-0.0000	-50.1259	-0.0696	15.5824
2017/02/24 10:12:28.018536300	-0.0000	-50.1259	-0.0696	0.0815
2017/02/24 10:12:28.209625515	-0.0000	-49.9974	-0.0696	0.0813
2017/02/24 10:12:28.218194362	-0.0000	-49.9974	-0.0696	0.0813
2017/02/24 10:12:28.525445703	-0.0000	-49.9974	-0.0752	0.0813
2017/02/24 10:12:29.018531207	-0.0000	-49.9974	-0.0752	18.9521
2017/02/24 10:12:29.210024590	-0.0000	-49.9997	-0.0752	18.9530
2017/02/24 10:12:29.527781467	-0.0000	-49.9997	-0.0805	18.9530
2017/02/24 10:12:29.819034788	-0.0000	-49.9997	-0.0805	17.9792
2017/02/24 10:12:30.210188746	-0.0000	-50.0007	-0.0805	17.9795
2017/02/24 10:12:30.527533612	-0.0000	-50.0007	-0.0856	17.9795
2017/02/24 10:12:30.619569705	-0.0000	-50.0007	-0.0856	18.4911
2017/02/24 10:12:30.710356684	-0.0000	-49.9977	-0.0856	18.4900
2017/02/24 10:12:31.527198203	-0.0000	-49.9977	-0.0904	18.4900
2017/02/24 10:12:31.620249960	-0.0000	-49.9977	-0.0904	18.5002
2017/02/24 10:12:31.710353590	-0.0000	-49.9997	-0.0904	18.5010
2017/02/24 10:12:32.420682885	-0.0000	-49.9997	-0.0904	18.5034
2017/02/24 10:12:32.524052237	-0.0000	-49.9997	-0.0949	18.5034
2017/02/24 10:12:33.210571072	-0.0000	-49.9994	-0.0949	18.5033
2017/02/24 10:12:33.220785343	-0.0000	-49.9994	-0.0949	18.5421
2017/02/24 10:12:33.528699272	-0.0000	-49.9994	-0.0992	18.5421
2017/02/24 10:12:34.021655085	-0.0000	-49.9994	-0.0992	18.6192
2017/02/24 10:12:34.211071375	-0.0000	-50.0007	-0.0992	18.6197
2017/02/24 10:12:34.514291218	-0.0000	-50.0007	-0.1031	18.6197
2017/02/24 10:12:35.021888233	-0.0000	-50.0007	-0.1031	18.7177
2017/02/24 10:12:35.211278437	-0.0000	-49.9984	-0.1031	18.7168
2017/02/24 10:12:35.518595304	-0.0000	-49.9984	-0.1069	18.7168
2017/02/24 10:12:35.821904399	-0.0000	-49.9984	-0.1069	18.8799
2017/02/24 10:12:36.211030101	-0.0000	-49.9987	-0.1069	18.8800
2017/02/24 10:12:36.523573421	-0.0000	-49.9987	-0.1105	18.8800
2017/02/24 10:12:36.822694854	-0.0000	-49.9987	-0.1105	18.9064
2017/02/24 10:12:37.211475501	-0.0000	-49.9988	-0.1105	18.9065
2017/02/24 10:12:37.516184070	-0.0000	-49.9988	-0.1138	18.9065
2017/02/24 10:12:37.623060852	-0.0000	-49.9988	-0.1138	19.0085
2017/02/24 10:12:38.211790110	-0.0000	-49.9988	-0.1138	19.0085
2017/02/24 10:12:38.423021855	-0.0000	-49.9988	-0.1138	19.1354
2017/02/24 10:12:38.524749101	-0.0000	-49.9988	-0.1168	19.1354
2017/02/24 10:12:38.711658930	-0.0000	-49.9989	-0.1168	19.1355
2017/02/24 10:12:39.212004026	-0.0000	-49.9986	-0.1168	19.1354
2017/02/24 10:12:39.223515238	-0.0000	-49.9986	-0.1168	19.2288
2017/02/24 10:12:39.530155661	-0.0000	-49.9986	-0.1197	19.2288
2017/02/24 10:12:40.212170731	-0.0000	-49.9985	-0.1197	19.2288
2017/02/24 10:12:40.224170052	-0.0000	-49.9985	-0.1197	19.2251
2017/02/24 10:12:40.523362715	-0.0000	-49.9985	-0.1223	19.2251
2017/02/24 10:12:41.024419646	-0.0000	-49.9985	-0.1223	19.2711
2017/02/24 10:12:41.212273746	-0.0000	-49.9985	-0.1223	19.2711
2017/02/24 10:12:41.525621219	-0.0000	-49.9985	-0.1248	19.2711
2017/02/24 10:12:41.824852640	-0.0000	-49.9985	-0.1248	19.1804
2017/02/24 10:12:42.212364271	-0.0000	-49.9986	-0.1248	19.1804
2017/02/24 10:12:42.522729195	-0.0000	-49.9986	-0.1270	19.1804
2017/02/24 10:12:42.824838197	-0.0000	-49.9986	-0.1270	19.1845
2017/02/24 10:12:43.212539713	-0.0000	-49.9989	-0.1270	19.1846
2017/02/24 10:12:43.526272668	-0.0000	-49.9989	-0.1292	19.1846
2017/02/24 10:12:43.625283637	-0.0000	-49.9989	-0.1292	19.3196
2017/02/24 10:12:44.212891349	-0.0000	-49.9991	-0.1292	19.3197
2017/02/24 10:12:44.425795428	-0.0000	-49.9991	-0.1292	19.2899
2017/02/24 10:12:44.534895099	-0.0000	-49.9991	-0.1311	19.2899
2017/02/24 10:12:44.712863291	-0.0000	-49.9991	-0.1311	19.2899
2017/02/24 10:12:45.225856589	-0.0000	-49.9991	-0.1311	19.3174
2017/02/24 10:12:45.525096992	-0.0000	-49.9991	-0.1329	19.3174
2017/02/24 10:12:45.713038332	-0.0000	-49.9992	-0.1329	19.3174
2017/02/24 10:12:46.026682876	-0.0000	-49.9992	-0.1329	19.4427
2017/02/24 10:12:46.212920250	-0.0000	-49.9991	-0.1329	19.4426
2017/02/24 10:12:46.523871030	-0.0000	-49.9991	-0.1346	19.4426
2017/02/24 10:12:47.027082229	-0.0000	-49.9991	-0.1346	19.4114
2017/02/24 10:12:47.213068917	-0.0000	-49.9990	-0.1346	19.4113
2017/02/24 10:12:47.524006691	-0.0000	-49.9990	-0.1362	19.4113
2017/02/24 10:12:47.827594100	-0.0000	-49.9990	-0.1362	19.4531
2017/02/24 10:12:48.531211310	-0.0000	-49.9990	-0.1376	19.4531
2017/02/24 10:12:49.523744940	-0.0000	-49.9990	-0.1389	19.4531
2017/02/24 10:12:49.829041713	-0.0000	-49.9990	-0.1389	19.4946
2017/02/24 10:12:50.213796675	-0.0000	-49.9979	-0.1389	19.4942
2017/02/24 10:12:50.521055149	-0.0000	-49.9979	-0.1402	19.4942
2017/02/24 10:12:50.628975829	-0.0000	-49.9979	-0.1402	19.5222
2017/02/24 10:12:50.713842776	-0.0000	-49.9976	-0.1402	19.5221
2017/02/24 10:12:51.213770809	-0.0000	-49.9976	-0.1402	19.5221
2017/02/24 10:12:51.229272192	-0.0000	-49.9976	-0.1402	19.5968
2017/02/24 10:12:51.523487307	-0.0000	-49.9976	-0.1413	19.5968
2017/02/24 10:12:52.214015798	-0.0000	-49.9976	-0.1413	19.5968
2017/02/24 10:12:52.229714783	-0.0000	-49.9976	-0.1413	19.6512
2017/02/24 10:12:52.528515437	-0.0000	-49.9976	-0.1424	19.6512
2017/02/24 10:12:53.030383021	-0.0000	-49.9976	-0.1424	19.7266
2017/02/24 10:12:53.214283831	-0.0000	-49.9977	-0.1424	19.7267
2017/02/24 10:12:53.522918453	-0.0000	-49.9977	-0.1434	19.7267
2017/02/24 10:12:53.830815942	-0.0000	-49.9977	-0.1434	19.6899
2017/02/24 10:12:54.214675865	-0.0000	-49.9981	-0.1434	19.6900
2017/02/24 10:12:54.528600510	-0.0000	-49.9981	-0.1443	19.6900
2017/02/24 10:12:54.630943832	-0.0000	-49.9981	-0.1443	19.7035
2017/02/24 10:12:54.714621661	-0.0000	-49.9983	-0.1443	19.7035
2017/02/24 10:12:55.523803013	-0.0000	-49.9983	-0.1451	19.7035
2017/02/24 10:12:55.631257853	-0.0000	-49.9983	-0.1451	19.7704
2017/02/24 10:12:55.714396188	-0.0000	-49.9981	-0.1451	19.7703
2017/02/24 10:12:56.527755432	-0.0000	-49.9981	-0.1459	19.7703
2017/02/24 10:12:56.632124119	-0.0000	-49.9981	-0.1459	19.8334
2017/02/24 10:12:56.714823701	-0.0000	-49.9978	-0.1459	19.8332
2017/02/24 10:12:57.232238720	-0.0000	-49.9978	-0.1459	19.8336
2017/02/24 10:12:57.523389406	-0.0000	-49.9978	-0.1466	19.8336
2017/02/24 10:12:57.715067831	-0.0000	-49.9974	-0.1466	19.8334
2017/02/24 10:12:58.215342844	-0.0000	-49.9973	-0.1466	19.8333
2017/02/24 10:12:58.233075002	-0.0000	-49.9973	-0.1466	19.7180
2017/02/24 10:12:58.528753218	-0.0000	-49.9973	-0.1473	19.7180
2017/02/24 10:12:59.032850779	-0.0000	-49.9973	-0.1473	19.8361
2017/02/24 10:12:59.215683551	-0.0000	-49.9972	-0.1473	19.8361
2017/02/24 10:12:59.526494535	-0.0000	-49.9972	-0.1479	19.8361
2017/02/24 10:13:00.523338275	-0.0000	-49.9972	-0.1484	19.8361
2017/02/24 10:13:01.521682416	-0.0000	-49.9972	-0.1490	19.8361
2017/02/24 10:13:01.634020130	-0.0000	-49.9972	-0.1490	19.8385
2017/02/24 10:13:01.715542147	-0.0000	-49.9968	-0.1490	19.8383
2017/02/24 10:13:02.518607898	-0.0000	-49.9968	-0.1496	19.8383
2017/02/24 10:13:02.634391762	-0.0000	-49.9968	-0.1496	0.0813
2017/02/24 10:13:02.716034911	-0.0000	-54.3330	-0.1496	0.0884
2017/02/24 10:13:03.216067136	-0.0000	-63.0991	-0.1496	0.1026
2017/02/24 10:13:03.234512346	-0.0000	-63.0991	-0.1496	0.1027
2017/02/24 10:13:03.520483248	-0.0000	-63.0991	-0.1506	0.1027
2017/02/24 10:13:04.035323306	-0.0000	-63.0991	-0.1506	0.1028
2017/02/24 10:13:04.216308307	-0.0000	-71.8458	-0.1506	0.1171
2017/02/24 10:13:04.526118926	-0.0000	-71.8458	-0.1523	0.1171
2017/02/24 10:13:04.835419940	-0.0000	-71.8458	-0.1523	0.1172
2017/02/24 10:13:05.216241025	-0.0000	-80.6230	-0.1523	0.1315
2017/02/24 10:13:05.520767770	-0.0000	-80.6230	-0.1548	0.1315
2017/02/24 10:13:05.716321836	-0.0000	-86.7803	-0.1548	0.1416
2017/02/24 10:13:05.835620707	-0.0000	-86.7803	-0.1548	0.1417
2017/02/24 10:13:06.517997086	-0.0000	-86.7803	-0.1580	0.1417
2017/02/24 10:13:06.636201459	-0.0000	-86.7803	-0.1580	0.1418
2017/02/24 10:13:07.216917293	-0.0000	-94.8620	-0.1580	0.1550
2017/02/24 10:13:07.436458649	-0.0000	-94.8620	-0.1580	0.1551
2017/02/24 10:13:07.520694205	-0.0000	-94.8620	-0.1622	0.1551
2017/02/24 10:13:07.716610302	-0.0000	-99.9442	-0.1622	0.1634
2017/02/24 10:13:08.436676863	-0.0000	-99.9442	-0.1622	0.1634
2017/02/24 10:13:08.519339878	-0.0000	-99.9442	-0.1671	0.1634
2017/02/24 10:13:08.716721240	-0.0000	-99.9494	-0.1671	0.1634
2017/02/24 10:13:09.216927487	-0.0000	-99.9502	-0.1671	0.1634
2017/02/24 10:13:09.236742847	-0.0000	-99.9502	-0.1671	0.1634
2017/02/24 10:13:09.520696688	-0.0000	-99.9502	-0.1724	0.1634
2017/02/24 10:13:10.217530582	-0.0000	-99.9527	-0.1724	0.1634
2017/02/24 10:13:10.237113135	-0.0000	-99.9527	-0.1724	15.4244
2017/02/24 10:13:10.519495672	-0.0000	-99.9527	-0.1781	15.4244
2017/02/24 10:13:11.037955457	-0.0000	-99.9527	-0.1781	15.0426
2017/02/24 10:13:11.217440504	-0.0000	-99.9550	-0.1781	15.0429
2017/02/24 10:13:11.518254452	-0.0000	-99.9550	-0.1842	15.0429
2017/02/24 10:13:11.838417110	-0.0000	-99.9550	-0.1842	15.1961
2017/02/24 10:13:12.217423256	-0.0000	-99.9524	-0.1842	15.1957
2017/02/24 10:13:12.520921660	-0.0000	-99.9524	-0.1904	15.1957
2017/02/24 10:13:12.717733930	-0.0000	-99.9547	-0.1904	15.1960
2017/02/24 10:13:12.838602014	-0.0000	-99.9547	-0.1904	15.3533
2017/02/24 10:13:13.521300728	-0.0000	-99.9547	-0.1967	15.3533
2017/02/24 10:13:13.638579996	-0.0000	-99.9547	-0.1967	15.5259
2017/02/24 10:13:13.717931807	-0.0000	-99.9545	-0.1967	15.5258
2017/02/24 10:13:14.525362135	-0.0000	-99.9545	-0.2030	15.5258
2017/02/24 10:13:14.639109987	-0.0000	-99.9545	-0.2030	15.7405
2017/02/24 10:13:14.717891383	-0.0000	-99.9524	-0.2030	15.7402
2017/02/24 10:13:15.239647974	-0.0000	-99.9524	-0.2030	15.9434
2017/02/24 10:13:15.512766913	-0.0000	-99.9524	-0.2091	15.9434
2017/02/24 10:13:15.718314278	-0.0000	-99.9529	-0.2091	15.9435
2017/02/24 10:13:16.218250013	-0.0000	-99.9542	-0.2091	15.9437
2017/02/24 10:13:16.240048215	-0.0000	-99.9542	-0.2091	16.1113
2017/02/24 10:13:16.504179420	-0.0000	-99.9542	-0.2102	16.1113
2017/02/24 10:13:17.040229223	-0.0000	-99.9542	-0.2102	0.1634
2017/02/24 10:13:17.218389075	-0.0000	-100.0004	-0.2102	0.1635
2017/02/24 10:13:17.509387985	-0.0000	-100.0004	-0.2102	0.1635
2017/02/24 10:13:18.657127477	-0.0000	-100.0004	-0.2110	0.1635
2017/02/24 10:13:18.718476778	-0.0000	-99.9999	-0.2110	0.1635
2017/02/24 10:13:19.441178515	-0.0000	-99.9999	-0.2110	17.2851
2017/02/24 10:13:19.514841805	-0.0000	-99.9999	-0.2168	17.2851
2017/02/24 10:13:19.718664440	-0.0000	-100.0029	-0.2168	17.2856
2017/02/24 10:13:20.514703178	-0.0000	-100.0029	-0.2232	17.2856
2017/02/24 10:13:21.513985705	-0.0000	-100.0029	-0.2293	17.2856
2017/02/24 10:13:22.042420798	-0.0000	-100.0029	-0.2293	17.3812
2017/02/24 10:13:22.219044242	-0.0000	-100.0001	-0.2293	17.3807
2017/02/24 10:13:22.242033332	-0.0000	-100.0001	-0.2293	17.4563
2017/02/24 10:13:22.524459842	-0.0000	-100.0001	-0.2351	17.4563
2017/02/24 10:13:22.842385454	-0.0000	-100.0001	-0.2351	17.4713
2017/02/24 10:13:23.219341825	-0.0000	-99.9996	-0.2351	17.4712
2017/02/24 10:13:23.513929457	-0.0000	-99.9996	-0.2404	17.4712
2017/02/24 10:13:23.719096791	-0.0000	-100.0036	-0.2404	17.4719
2017/02/24 10:13:23.842695699	-0.0000	-100.0036	-0.2404	17.5023
2017/02/24 10:13:24.534277780	-0.0000	-100.0036	-0.2455	17.5023
2017/02/24 10:13:24.719264363	-0.0000	-99.9999	-0.2455	17.5017
2017/02/24 10:13:24.843119657	-0.0000	-99.9999	-0.2455	17.5683
2017/02/24 10:13:25.527635359	-0.0000	-99.9999	-0.2501	17.5683
2017/02/24 10:13:25.643605702	-0.0000	-99.9999	-0.2501	17.6060
2017/02/24 10:13:25.719616233	-0.0000	-99.9996	-0.2501	17.6060
2017/02/24 10:13:26.523398787	-0.0000	-99.9996	-0.2545	17.6060
2017/02/24 10:13:26.644269691	-0.0000	-99.9996	-0.2545	17.5662
2017/02/24 10:13:26.719833139	-0.0000	-100.0011	-0.2545	17.5664
2017/02/24 10:13:27.220042687	-0.0000	-100.0009	-0.2545	17.5664
2017/02/24 10:13:27.444378233	-0.0000	-100.0009	-0.2545	17.6374
2017/02/24 10:13:27.526602579	-0.0000	-100.0009	-0.2585	17.6374
2017/02/24 10:13:28.220252108	-0.0000	-100.0009	-0.2585	17.6374
2017/02/24 10:13:28.244866019	-0.0000	-100.0009	-0.2585	17.6504
2017/02/24 10:13:28.532642722	-0.0000	-100.0009	-0.2623	17.6504
2017/02/24 10:13:29.220250256	-0.0000	-100.0011	-0.2623	17.6504
2017/02/24 10:13:29.245180051	-0.0000	-100.0011	-0.2623	17.6700
2017/02/24 10:13:29.525034425	-0.0000	-100.0011	-0.2657	17.6700
2017/02/24 10:13:29.845242688	-0.0000	-100.0011	-0.2657	17.7485
2017/02/24 10:13:30.530163309	-0.0000	-100.0011	-0.2690	17.7485
2017/02/24 10:13:31.532185308	-0.0000	-100.0011	-0.2720	17.7485
2017/02/24 10:13:31.846342795	-0.0000	-100.0011	-0.2720	17.7761
2017/02/24 10:13:32.220847729	-0.0000	-100.0011	-0.2720	17.7761
2017/02/24 10:13:32.521353995	-0.0000	-100.0011	-0.2747	17.7761
2017/02/24 10:13:32.646339059	-0.0000	-100.0011	-0.2747	17.8427
